id_client,predicted_prob
1,1.1915541583445784e-10
2,1.2834412548578176e-210
3,7.736419441910447e-52
4,9.581390575222972e-97
5,3.526129606279985e-129
6,1.644554451197058e-166
7,1.0
8,1.0
9,1.0
10,3.1134756016218897e-224
11,4.132826588115175e-98
12,7.481035001462198e-172
13,6.291481040731405e-190
14,1.0
15,1.0141678485861875e-196
16,1.7695210571684621e-54
17,7.920249707018037e-39
18,1.7989530431907558e-157
19,1.5136077823048738e-145
20,1.3426341506166755e-159
21,1.0
22,8.233660309558802e-18
23,1.0
24,1.4009623892245993e-175
25,2.311252557186437e-130
26,3.530175684233431e-42
27,9.441951405676816e-86
28,1.0
29,5.84023626121491e-191
30,5.305198185436128e-162
31,5.132199705993925e-131
32,4.195677918095779e-236
33,3.461862338470987e-188
34,6.291481040731405e-190
35,5.246010204875156e-110
36,4.054122649849212e-198
37,1.0
38,1.189865297808828e-212
39,4.696751847785093e-33
40,4.838011788536572e-236
41,7.460387494649452e-248
42,3.052664035549854e-93
43,3.052664035549854e-93
44,3.1406945564630437e-56
45,6.84470024377289e-07
46,2.0218384417948482e-158
47,1.0
48,3.9380570617995335e-62
49,1.3158607484982166e-125
50,1.1915541583445784e-10
51,3.6197210394746725e-204
52,2.2772228215917287e-157
53,2.9331915064444455e-61
54,3.613005654537552e-26
55,1.2659255547995883e-236
56,3.1061214723760477e-88
57,1.3739741651242375e-10
58,2.2026841052265905e-41
59,1.2194107067425961e-92
60,6.435300530824857e-124
61,3.2395652739809486e-188
62,9.565975515223698e-152
63,1.898702163349447e-65
64,4.6747852325725125e-198
65,3.767175867951647e-168
66,5.8245933374560426e-127
67,8.299311721162021e-112
68,1.0
69,3.308913367277128e-66
70,3.725415011230331e-108
71,7.275187990201939e-124
72,1.6470987834586036e-165
73,2.9573365729390975e-71
74,8.517366345841067e-171
75,4.395690795874287e-190
76,8.042473994154003e-79
77,6.541857851506374e-200
78,3.5039474924044443e-22
79,2.206226644730881e-170
80,1.1342071112462236e-174
81,1.0
82,3.285004944346355e-190
83,2.803846091083139e-126
84,4.195677918095779e-236
85,2.0506731067678534e-166
86,4.054122649849212e-198
87,1.0294342592250929e-243
88,3.461862338470987e-188
89,1.5063129668296727e-40
90,0.9999156590229435
91,5.109185175723218e-217
92,1.0336740647931735e-21
93,4.803165077792936e-09
94,1.1915541583445784e-10
95,1.2817721341042247e-14
96,1.0
97,3.973786773271369e-85
